#EXPORTTYPE:                 	DATA SINGLE                             
#FILE:                       	SK_Mix_resin_entalp100kpm_30-300.ngb-sdg
#FORMAT:                     	NETZSCH5                                
#FTYPE:                      	ASCII                                   
#IDENTITY:                   	SK_epoxy                                
#DECIMAL:                    	POINT                                   
#SEPARATOR:                  	TAB                                     
#MTYPE:                      	DSC                                     
#INSTRUMENT:                 	NETZSCH DSC 214                         
#PROJECT:                    	?ø?†??-Ø                              
#DATE/TIME:                  	12.09.2019 21:31:43 (UTC+3)             
#CORR. FILE:                 	                                        
#TEMPCAL:                    	applied                                 
#SENSITIVITY:                	applied                                 
#LABORATORY:                 	CISIS                                   
#OPERATOR:                   	Nasonov                                 
#REMARK:                     	                                        
#SAMPLE:                     	20190907_1083-G290S -0-                 
#SAMPLE MASS /mg:            	8.61                                    
#MATERIAL:                   	                                        
#REFERENCE:                  	                                        
#REFERENCE MASS /mg:         	0                                       
#TYPE OF CRUCIBLE:           	Concavus Pan Al, pierced lid            
#SAMPLE CRUCIBLE MASS /mg:   	0                                       
#REFERENCE CRUCIBLE MASS /mg:	0                                       
#M.RANGE /ßV:                	5000                                    
#TAU-R:                      	---                                     
#CORR. CODE:                 	009                                     
#EXO:                        	+1                                      
#RANGE:                      	30ËC/100.0(K/min)/300ËC                 
#SEGMENT:                    	S1/1                                    
#SEG. 1:                     	30ËC/100.0(K/min)/300ËC                 

##Temp./ËC	Time/min	DSC/(mW/mg)	Sensit./(uV/mW)
 30.00400	0.00000	 1.200276e-002	3.37638
 30.00562	0.01000	 1.195129e-002	3.37638
 30.00923	0.02000	 1.192613e-002	3.37639
 30.02985	0.03000	 7.945380e-003	3.37640
 30.10623	0.04000	-1.959727e-002	3.37646
 30.27531	0.05000	-9.744509e-002	3.37659
 30.55208	0.06000	      -0.23301	3.37680
 30.93769	0.07000	      -0.42135	3.37709
 31.42777	0.08000	      -0.65179	3.37745
 32.01677	0.09000	      -0.91377	3.37788
 32.70092	0.10000	      -1.19835	3.37836
 33.47669	0.11000	      -1.49892	3.37889
 34.34077	0.12000	      -1.81121	3.37947
 35.28915	0.13000	      -2.12999	3.38008
 36.31669	0.14000	      -2.45097	3.38071
 37.41646	0.15000	      -2.77103	3.38135
 38.58231	0.16000	      -3.08560	3.38200
 39.80746	0.17000	      -3.39094	3.38264
 41.08492	0.18000	      -3.68422	3.38327
 42.40823	0.19000	      -3.96383	3.38387
 43.77223	0.20000	      -4.22791	3.38444
 45.17069	0.21000	      -4.47447	3.38498
 46.59738	0.22000	      -4.70337	3.38547
 48.04554	0.23000	      -4.91436	3.38592
 49.51046	0.24000	      -5.10497	3.38632
 50.98592	0.25000	      -5.27488	3.38666
 52.46454	0.26000	      -5.42348	3.38695
 53.94108	0.27000	      -5.54938	3.38718
 55.41200	0.28000	      -5.65373	3.38735
 56.87254	0.29000	      -5.73728	3.38747
 58.31923	0.30000	      -5.80108	3.38753
 59.74815	0.31000	      -5.84643	3.38754
 61.15731	0.32000	      -5.87377	3.38750
 62.54515	0.33000	      -5.88479	3.38741
 63.90885	0.34000	      -5.88106	3.38728
 65.24685	0.35000	      -5.86354	3.38710
 66.55915	0.36000	      -5.83399	3.38688
 67.84408	0.37000	      -5.79387	3.38663
 69.10092	0.38000	      -5.74505	3.38634
 70.32977	0.39000	      -5.68734	3.38602
 71.53023	0.40000	      -5.62196	3.38568
 72.70400	0.41000	      -5.55091	3.38530
 73.85092	0.42000	      -5.47498	3.38490
 74.97077	0.43000	      -5.39584	3.38449
 76.06585	0.44000	      -5.31390	3.38405
 77.13685	0.45000	      -5.23039	3.38359
 78.18585	0.46000	      -5.14676	3.38311
 79.21377	0.47000	      -5.06442	3.38262
 80.22146	0.48000	      -4.98271	3.38212
 81.21077	0.49000	      -4.90388	3.38160
 82.18400	0.50000	      -4.82746	3.38107
 83.14262	0.51000	      -4.75407	3.38052
 84.08746	0.52000	      -4.68455	3.37996
 85.02046	0.53000	      -4.61911	3.37938
 85.94354	0.54000	      -4.55755	3.37880
 86.85846	0.55000	      -4.50015	3.37819
 87.76662	0.56000	      -4.44611	3.37758
 88.66900	0.57000	      -4.39675	3.37695
 89.56738	0.58000	      -4.35300	3.37630
 90.46323	0.59000	      -4.31426	3.37563
 91.35792	0.60000	      -4.27726	3.37495
 92.25185	0.61000	      -4.24332	3.37425
 93.14654	0.62000	      -4.21282	3.37354
 94.04292	0.63000	      -4.18612	3.37280
 94.94146	0.64000	      -4.16309	3.37204
 95.84315	0.65000	      -4.14341	3.37126
 96.74785	0.66000	      -4.12619	3.37046
 97.65723	0.67000	      -4.11154	3.36964
 98.57123	0.68000	      -4.09982	3.36880
 99.49054	0.69000	      -4.09116	3.36793
100.41562	0.70000	      -4.08592	3.36704
101.34546	0.71000	      -4.08394	3.36613
102.28138	0.72000	      -4.08440	3.36519
103.22354	0.73000	      -4.08581	3.36422
104.17177	0.74000	      -4.08717	3.36323
105.12631	0.75000	      -4.08707	3.36221
106.08654	0.76000	      -4.08362	3.36117
107.05192	0.77000	      -4.07566	3.36010
108.02254	0.78000	      -4.06147	3.35901
108.99877	0.79000	      -4.03970	3.35789
109.98000	0.80000	      -4.00856	3.35674
110.96538	0.81000	      -3.96649	3.35557
111.95508	0.82000	      -3.91143	3.35438
112.94915	0.83000	      -3.84098	3.35315
113.94792	0.84000	      -3.75202	3.35191
114.95085	0.85000	      -3.64217	3.35063
115.95646	0.86000	      -3.50654	3.34933
116.96569	0.87000	      -3.33868	3.34801
117.97885	0.88000	      -3.13113	3.34666
118.99446	0.89000	      -2.87490	3.34529
120.01215	0.90000	      -2.56063	3.34389
121.03231	0.91000	      -2.17824	3.34247
122.05454	0.92000	      -1.72129	3.34103
123.07746	0.93000	      -1.18183	3.33956
124.10123	0.94000	      -0.54697	3.33807
125.12585	0.95000	       0.19807	3.33657
126.15092	0.96000	       1.06830	3.33504
127.17631	0.97000	       2.07664	3.33349
128.20239	0.98000	       3.22748	3.33192
129.22908	0.99000	       4.51147	3.33032
